gene,log2FoldChange,pvalue,t_statistic,mean_group1,mean_group2,padj,abs_log2FC,significant
NDUFAF4,0.6164826984460703,3.048066259052913e-44,14.734481742133935,8.144135398230087,7.527652699784017,2.6171505755454325e-43,0.6164826984460703,False
METTL2A,0.14003382279860332,0.00012680630719474737,3.849107743657932,9.016341814159293,8.87630799136069,0.0001987050713468674,0.14003382279860332,False
KLK14,0.6443451640417428,0.00010356466122710603,3.899235203776592,2.9770509955752207,2.332705831533478,0.0001632072055671853,0.6443451640417428,False
KLK15,0.11422097134884066,0.021130317895280866,2.3096419965219073,0.34810088495575214,0.2338799136069115,0.027623246996831934,0.11422097134884066,False
GPR22,0.14022273982683153,0.0008888018551099063,3.334543272906338,0.7041298672566372,0.5639071274298056,0.0013110021537468069,0.14022273982683153,False
FAM71D,-0.04483670607236423,0.3324522867609372,-0.9697011557382562,4.701691371681416,4.74652807775378,0.37011218359584386,0.04483670607236423,False
FAM71B,-0.0009790178998069568,0.9157400422186295,-0.10583055277268762,0.017496792035398227,0.018475809935205183,0.9258417967025228,0.0009790178998069568,False
FAM71C,-0.04834354393241461,0.016153902290628703,-2.40989728409326,0.06439446902654868,0.11273801295896328,0.021361708617659094,0.04834354393241461,False
FAM71A,-0.11684860901393374,0.007416082769117684,-2.683560937941933,0.27514491150442477,0.3919935205183585,0.010124882481024446,0.11684860901393374,False
ZNF625,-0.4501464530094239,1.9278089434578288e-08,-5.668846043996963,3.7686174778761057,4.21876393088553,3.821468990970672e-08,0.4501464530094239,False
TRH,-0.21333327734666185,0.004830301417172566,-2.8250541116503842,0.7479038716814159,0.9612371490280778,0.006707648101249851,0.21333327734666185,False
GPR20,-0.7496685747529572,3.5275811808331407e-22,-9.940883373197657,1.9315545353982302,2.6812231101511874,1.3199918126320944e-21,0.7496685747529572,False
OGG1,-0.10494757521168108,0.0016948030192147263,-3.148432843069554,7.936320243362833,8.041267818574514,0.0024403380361266995,0.10494757521168108,False
SPAG1,-0.4971126371394705,2.6818849316059615e-15,-8.044351339709522,7.815190818584072,8.312303455723542,7.437237033088548e-15,0.4971126371394705,False
C3orf33,-0.09005022291137088,0.07627853811166396,-1.7747124031988173,7.032181526548673,7.122231749460044,0.09360931774927315,0.09005022291137088,False
GPR21,-0.12709769586574682,0.03270502262456495,-2.1389428891833333,1.2662606194690265,1.3933583153347733,0.0418603622913468,0.12709769586574682,False
ALLC,0.37471140168963485,2.4264942876333156e-13,7.433851137141793,0.5811617256637169,0.20645032397408208,6.131317589322954e-13,0.37471140168963485,False
C3orf32,0.09832819554081729,0.20134877573512494,1.2786400129577757,1.7841640486725665,1.6858358531317492,0.23275422055216044,0.09832819554081729,False
VSIG10,-0.22125412350198026,0.0020066901372316277,-3.098182712295535,8.510126438053096,8.731380561555076,0.0028728801759702162,0.22125412350198026,False
GPR26,0.6310089040310405,1.2863329179912364e-13,7.522389387827546,1.178574778761062,0.5475658747300216,3.295556950912281e-13,0.6310089040310405,False
SESN3,2.2847016750606848,1.9047550713634424e-91,22.80185747524967,9.05980232300885,6.775100647948165,7.448033585032148e-90,2.2847016750606848,True
C3orf31,0.12442221826678601,9.824822389702703e-05,3.912191498051938,6.8923306415929195,6.7679084233261335,0.00015515498012118217,0.12442221826678601,False
GPR27,0.8017473556451769,2.3091195634769286e-16,8.360786034432364,2.6421477876106194,1.8404004319654426,6.724833466315628e-16,0.8017473556451769,False
DENND3,-0.7790328126493247,2.25583635775869e-35,-12.958025491793848,8.730182522123894,9.509215334773218,1.4085069490259637e-34,0.7790328126493247,False
RWDD4A,0.0511598071446322,0.08662147760923626,1.7153439611716812,8.778780973451328,8.727621166306696,0.1054905019826287,0.0511598071446322,False
SLC34A2,-4.153659105200784,2.43259687180584e-93,-23.100904574469027,10.315094026548675,14.468753131749459,1.0286482179212379e-91,4.153659105200784,True
OR2AE1,-0.019785631653892438,0.49727346240889314,-0.6790576073119244,0.246545685840708,0.26633131749460043,0.5358732699027522,0.019785631653892438,False
LOC100130148,0.08800702063303964,0.008434829708801772,2.6398875013929777,0.19892732300884958,0.11092030237580994,0.011458583216081817,0.08800702063303964,False
C3orf37,0.9085398043731701,2.0026573197781963e-113,26.22253244153086,10.753293584070796,9.844753779697626,1.6972311302136974e-111,0.9085398043731701,False
PPP1R16B,-0.8104099992354579,1.0923808811757556e-19,-9.290827450622917,7.2756154867256635,8.086025485961121,3.685238965392227e-19,0.8104099992354579,False
GPR25,-0.595439828026147,6.412859783958137e-13,-7.296498840663793,1.5204554203539824,2.1158952483801294,1.59084476330768e-12,0.595439828026147,False
PLLP,-0.6822112485425933,1.3198266309385029e-14,-7.833006657808606,7.942131084070796,8.62434233261339,3.5492682434492e-14,0.6822112485425933,False
BLNK,0.05493537123224712,0.4547790850270559,0.7477905140999824,7.445047898230088,7.390112526997841,0.49410236374097605,0.05493537123224712,False
EIF3CL,-0.13789253019935366,0.0002360337509699302,-3.6916274223135876,13.118100774336284,13.255993304535638,0.00036342558919771466,0.13789253019935366,False
KCNMB1,-0.5497146770293773,2.2592757826793212e-11,-6.772859166297447,5.713914048672566,6.263628725701944,5.222738071007721e-11,0.5497146770293773,False
NOXA1,-1.0940334758883008,1.6466624668550973e-32,-12.349323502215487,5.803872787610619,6.897906263498919,9.269913359130071e-32,1.0940334758883008,True
AOX2P,-0.1462317551940977,1.0010259744565066e-11,-6.895542783512942,0.034408849557522124,0.18064060475161983,2.352997692075727e-11,0.1462317551940977,False
UAP1L1,0.72111163941398,6.703923206061773e-34,12.647402306401501,8.906749004424778,8.185637365010798,3.972731554674699e-33,0.72111163941398,False
ORC5L,0.4727952359563439,3.085264679551732e-33,12.505877461048382,8.978435840707965,8.50564060475162,1.7844670498092612e-32,0.4727952359563439,False
ARHGDIA,0.08843528999980421,0.006388899236198507,2.733438241300456,12.686789933628315,12.598354643628511,0.008772771610684071,0.08843528999980421,False
OR9G4,-0.005119597087100289,0.43683565999795826,-0.7778895462199198,0.008111504424778761,0.01323110151187905,0.4763192448997978,0.005119597087100289,False
USH1C,0.312538348162235,0.0761877861451942,1.7752616211720214,3.3414368362831857,3.0288984881209506,0.09350927760836869,0.312538348162235,False
KIAA1841,0.20852354402798134,1.677626908100022e-05,4.327090732856498,8.31696371681416,8.108440172786178,2.790763224668688e-05,0.20852354402798134,False
MORF4,-0.20237439123454193,3.991481861812211e-05,-4.12816684501104,2.0528688053097346,2.2552431965442765,6.479719893484518e-05,0.20237439123454193,False
UBR1,-0.5516224567078876,1.0034954471089845e-48,-15.583174133305851,9.074995685840708,9.626618142548596,1.0152747393203037e-47,0.5516224567078876,False
PRMT7,0.031403100690001295,0.35029742558098653,0.9344916482182412,8.939939601769913,8.908536501079912,0.3885905227637265,0.031403100690001295,False
NUCB1,-0.1468092738775617,3.56278146345452e-05,-4.154714848159725,12.611546017699114,12.758355291576676,5.802841632540311e-05,0.1468092738775617,False
HSDL1,-0.2901749940270264,1.2048559037924426e-13,-7.531467656132494,9.016711615044247,9.306886609071274,3.0915070092875505e-13,0.2901749940270264,False
HSDL2,-0.4140113842485551,4.658332820491751e-22,-9.910152744751924,9.519007190265485,9.93301857451404,1.7370127260504498e-21,0.4140113842485551,False
KCNMB4,-0.5413793707830816,6.291886471702943e-07,-5.017477657756442,6.562095575221238,7.10347494600432,1.1470941537744656e-06,0.5413793707830816,False
SOCS5,0.14693620171448174,4.507377795499562e-06,4.614321854929574,9.2774828539823,9.13054665226782,7.799823771708126e-06,0.14693620171448174,False
SOCS4,-0.004077759991590213,0.8927683682685186,-0.13483965925641317,9.210317920353981,9.214395680345572,0.9060992784125291,0.004077759991590213,False
CALN1,1.4348891103136527,4.807880413101759e-27,11.123708058039275,2.0429189159292034,0.6080298056155506,2.183045405881601e-26,1.4348891103136527,True
SOCS6,-0.2442554999139901,1.662838260394201e-09,-6.08988946678852,8.951054867256637,9.195310367170627,3.5011215139588917e-09,0.2442554999139901,False
SOCS1,0.4881390173741842,7.81300548346712e-11,6.582069712233309,7.705133185840707,7.216994168466523,1.7554345653646868e-10,0.4881390173741842,False
SRPR,-0.13241318354708653,1.9671906528526787e-05,-4.291153051512157,12.002063274336283,12.13447645788337,3.2590746502151975e-05,0.13241318354708653,False
SOCS3,-0.0022591202526793808,0.9718978069522621,-0.03523782053919684,11.41427975663717,11.416538876889849,0.9750267498671654,0.0022591202526793808,False
SOCS2,0.39368334878342637,8.567921934986859e-06,4.475961714296031,8.651490044247788,8.257806695464362,1.4540700359711672e-05,0.39368334878342637,False
PPP2CA,0.07388249440929862,0.005497024238229943,2.783001249436722,11.423008628318584,11.349126133909285,0.007599114519884488,0.07388249440929862,False
